scroll,segment,recipe,pitch_um,y0,x0,jpg,area,requant,q50
PHerc1667,20240304161941-w023,canon,2.399,8192,57344,0.7542,0.755,0.755,0.7552
PHerc1667,20240304161941-w023,canon,2.399,8192,61440,0.8694,0.8674,0.8674,0.8682
PHerc1667,20240304161941-w023,canon,2.399,8192,65536,0.8517,0.8492,0.8491,0.8502
PHerc1667,20240304161941-w023,canon,2.399,8192,69632,0.744,0.7447,0.7447,0.7444
PHerc1667,20240304161941-w023,canon,2.399,8192,73728,0.7314,0.7318,0.7318,0.7314
PHerc1667,20240304161941-w023,canon,2.399,8192,77824,0.8033,0.8035,0.8036,0.8037
PHerc1667,20240304161941-w023,canon,2.399,8192,81920,0.6223,0.6234,0.6233,0.6344
PHerc1667,20240304161941-w023,canon,2.399,8192,86016,0.6582,0.6592,0.6592,0.6666
PHerc1667,20240304161941-w023,canon,2.399,8192,90112,0.8353,0.8355,0.8355,0.8355
PHerc1667,20240304161941-w023,canon,2.399,12288,0,0.8424,0.8423,0.8423,0.8423
PHerc1667,20240304161941-w023,canon,2.399,12288,4096,0.415,0.4149,0.415,0.4224
PHerc1667,20240304161941-w023,canon,2.399,12288,8192,0.4637,0.4645,0.4638,0.4637
PHerc1667,20240304161941-w023,canon,2.399,12288,12288,0.8829,0.8839,0.883,0.8831
PHerc1667,20240304161941-w023,canon,2.399,12288,16384,0.9206,0.9207,0.9206,0.9207
PHerc1667,20240304161941-w023,canon,2.399,12288,20480,0.8431,0.836,0.8406,0.8471
